nationality,sex,1996,2001,2006,2011
Hong Kong,F,2750128,3096709,3234135,3337183
Hong Kong,M,2873339,3165155,3140076,3152309
Chinese,F,33201,50683,57824,61947
Chinese,M,31516,26215,28238,35137
Indonesian,F,20276,53051,101326,136001
Indonesian,M,1781,1578,9250,1402
Filipino,F,111670,136318,108188,126707
Filipino,M,9060,7344,7161,8374
British,F,84263,9962,10002,13449
British,M,91132,15456,14988,20284
Indian,F,NA,8304,8772,14273
Indian,M,NA,8177,9010,12377
Pakistani,F,NA,3310,4376,7544
Pakistani,M,NA,6612,5880,9709
American,F,14213,6456,5903,7336
American,M,14733,7923,7705,9406
Australian,F,9974,4234,4617,7665
Australian,M,10235,5271,5573,8284
Nepalese,F,NA,5297,7922,7592
Nepalese,M,NA,7082,7923,8351
Thai,F,13939,13496,14210,12743
Thai,M,2054,1295,1941,1468
Japanese,F,8953,7037,6896,6672
Japanese,M,10057,7678,6991,7186
Others,F,62832,28188,27219,29449
Others,M,64200,25558,28220,28728
