Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Ann
1955	2	0	0	0	0	0	0	0	0	0	0	0	2
1956	5	0	0	0	0	0	0	0	0	0	0	0	5
1957	0	1	0	0	0	0	0	0	0	0	0	0	1
1958	0	0	0	0	0	0	0	0	0	0	0	0	0
1959	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	0	0	0	0	0	0	0	0	0	0	0	0	0
1961	0	0	0	0	0	0	0	0	0	0	0	0	0
1962	0	0	0	0	0	0	0	0	0	0	0	0	0
1963	0	0	0	0	0	0	0	0	0	0	0	0	0
1964	4	1	0	0	0	0	0	0	0	0	0	0	5
1965	0	0	0	0	0	0	0	0	0	0	0	0	0
1966	0	0	0	0	0	0	0	0	0	0	0	0	0
1967	2	0	0	0	0	0	0	0	0	0	0	0	2
1968	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	0	1	0	0	0	0	0	0	0	0	0	0	1
1970	0	0	0	0	0	0	0	0	0	0	0	0	0
1971	1	0	0	0	0	0	0	0	0	0	0	0	1
1972	0	0	0	0	0	0	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0	0	0	0	0	2	2
1974	4	4	0	0	0	0	0	0	0	0	0	0	8
1975	0	0	0	0	0	0	0	0	0	0	0	2	2
1976	2	0	0	0	0	0	0	0	0	0	0	2	4
1977	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	3	0	0	0	0	0	0	0	0	0	0	0	3
1979	1	1	0	0	0	0	0	0	0	0	0	0	2
1980	1	0	0	0	0	0	0	0	0	0	0	0	1
1981	0	0	0	0	0	0	0	0	0	0	0	2	2
1982	0	0	0	0	0	0	0	0	0	0	0	3	3
1983	1	0	0	0	0	0	0	0	0	0	0	1	2
1984	0	1	0	0	0	0	0	0	0	0	0	0	1
1985	0	0	0	0	0	0	0	0	0	0	0	1	1
1986	2	0	2	0	0	0	0	0	0	0	0	0	4
1987	0	0	0	0	0	0	0	0	0	0	1	0	1
1988	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	0	0	0	0	0	0	0	0	0	0	0	1	1
1992	1	0	0	0	0	0	0	0	0	0	0	0	1
1993	2	0	0	0	0	0	0	0	0	0	0	0	2
1994	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	0	3	0	0	0	0	0	0	0	0	0	0	3
1997	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0	0	0	0	0	2	2
2000	2	1	0	0	0	0	0	0	0	0	0	0	3
2001	0	0	0	0	0	0	0	0	0	0	0	1	1
2002	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	0	0	1	0	0	0	0	0	0	0	0	1	2
2006	0	0	0	0	0	0	0	0	0	0	0	1	1
2007	4	0	0	0	0	0	0	0	0	0	0	0	4
2008	2	0	0	0	0	0	0	0	0	0	0	0	2
2009	2	0	0	0	0	0	0	0	0	0	0	0	2
2010	1	2	1	0	0	0	0	0	0	0	0	5	9
2011	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	0	0	0	0	0	0	0	0	0
