year,male,female,total
1951,87.8,96.0,91.8
1956,61.9,59.9,60.9
1961,40.6,34.5,37.7
1966,27.2,22.3,24.9
1971,21.0,15.5,18.4
1976,16.2,12.3,14.3
1981,10.3,9.0,9.7
1982,10.3,9.5,9.9
1983,10.6,9.5,10.1
1984,9.8,8.3,9.1
1985,8.2,6.9,7.6
1986,8.0,7.2,7.7
1987,7.9,7.0,7.5
1988,8.3,6.8,7.6
1989,7.5,6.3,6.9
1990,6.4,5.3,5.9
1991,6.5,6.3,6.5
1992,4.8,4.9,4.9
1993,4.8,4.5,4.7
1994,4.7,5.0,4.8
1995,4.3,4.6,4.4
1996,4.3,3.6,4.0
1997,4.3,3.7,4.0
1998,3.5,2.9,3.2
1999,3.3,3.1,3.2
2000,3.2,2.6,2.9
2001,3.1,2.3,2.7
2002,2.4,2.3,2.4
2003,2.3,2.2,2.3
2004,2.2,2.7,2.5
2005,2.6,2.1,2.4
2006,2.0,1.7,1.8
2007,1.8,1.6,1.7
2008,1.7,1.9,1.8
2009,1.8,1.5,1.7
2010,1.8,1.4,1.7
2011,1.6,1.1,1.4
